Number,Title,Photo,Year,Artist,Region,Category,Description,image,num,RGB_1,BCT_1,PCT_1,RGB_2,BCT_2,PCT_2,RGB_3,BCT_3,PCT_3,RGB_4,BCT_4,PCT_4,RGB_5,BCT_5,PCT_5,RGB_6,BCT_6,PCT_6,pct_black,pct_white,pct_gray,pct_red,pct_green,pct_yellow,pct_blue,pct_brown,pct_orange,pct_pink,pct_purple,palette,dominant_bct
1,Espacio regulador ER #032,,2012,Pablo Rey,ca,Unknown,https://www.linkedin.com/pulse/regulator-space-small-introductory-text-pablo-rey-art/,1.jpg,1,"(245, 233, 247)",white,74.5,"(107, 61, 98)",purple,5.8,"(91, 20, 43)",red,5.8,"(152, 99, 132)",purple,5.6,"(140, 46, 67)",red,4.6,"(188, 157, 183)",purple,3.7,0,74.5,0,10.4,0,0,0,0,0,0,15.1,white 74%; purple 15%; red 10%,white
2,Correction #40,,1998,Pablo Rey,ca,Unknown,https://www.linkedin.com/pulse/regulator-space-small-introductory-text-pablo-rey-art/,2.jpg,2,"(31, 30, 46)",black,27.7,"(161, 142, 149)",gray,19,"(84, 133, 171)",blue,18.4,"(210, 203, 198)",white,15.2,"(64, 76, 103)",blue,13.1,"(115, 63, 56)",brown,6.6,27.7,15.2,19,0,0,0,31.5,6.6,0,0,0,blue 31%; black 28%; gray 19%; white 15%; brown 7%,blue
3,Barcelona Triangle,,1987,Albert Rafols-Casamada,ca,Space,https://www.macba.cat/en/obra/r0121-barcelona-triangle/,3.jpg,3,"(98, 143, 203)",blue,22.3,"(77, 125, 194)",blue,20.7,"(70, 102, 158)",blue,19.3,"(99, 127, 163)",blue,15,"(85, 107, 124)",gray,13.3,"(47, 78, 140)",blue,9.5,0,0,13.3,0,0,0,86.7,0,0,0,0,blue 87%; gray 13%,blue
4,Paisajo,,1960,Albert Rafols-Casamada,ca,Colour co-occurrence,https://ariadnesgallery.com/artwork/86387/,4.jpg,4,"(147, 117, 92)",brown,24.9,"(35, 36, 39)",black,19.4,"(104, 68, 55)",brown,17.1,"(128, 98, 77)",brown,16.7,"(162, 134, 109)",brown,14.6,"(75, 52, 47)",brown,7.3,19.4,0,0,0,0,0,0,80.6,0,0,0,brown 81%; black 19%,brown
5,Blau antic,,1990,Albert Rafols-Casamada,ca,Colour co-occurrence,https://ariadnesgallery.com/artwork/86378/,5.jpg,5,"(58, 69, 100)",blue,33.1,"(40, 51, 80)",blue,26.9,"(75, 86, 119)",blue,17.7,"(65, 62, 74)",black,15.4,"(107, 111, 133)",purple,4.3,"(149, 147, 159)",gray,2.6,15.4,0,2.6,0,0,0,77.7,0,0,0,4.3,blue 78%; black 15%; purple 4%,blue
6,Flicka med parasoll,,1937,Emilio Grau Sala,ca,Life experiences,https://www.johnadamsfineart.com/artists/87-emilio-grau-sala/,6.jpg,6,"(199, 187, 171)",gray,27,"(225, 218, 204)",white,22.4,"(167, 157, 137)",gray,22.3,"(131, 116, 95)",brown,14.7,"(64, 64, 57)",gray,9.3,"(92, 138, 153)",gray,4.4,0,22.4,63,0,0,0,0,14.7,0,0,0,gray 63%; white 22%; brown 15%,gray
7,Paddock en Normandie,,1961,Emilio Grau Sala,ca,Life experiences,https://www.johnadamsfineart.com/artists/87-emilio-grau-sala/,7.jpg,7,"(237, 224, 195)",white,27.3,"(182, 187, 179)",gray,23,"(137, 147, 135)",gray,17.5,"(224, 189, 134)",yellow,14.9,"(82, 80, 72)",gray,9.7,"(199, 104, 78)",brown,7.6,0,27.3,50.2,0,0,14.9,0,7.6,0,0,0,gray 50%; white 27%; yellow 15%; brown 8%,gray
8,Le Golf,,1961,Emilio Grau Sala,ca,Life experiences,https://www.johnadamsfineart.com/artists/87-emilio-grau-sala,8.jpg,8,"(85, 123, 84)",green,29.9,"(124, 150, 103)",green,21.3,"(53, 84, 65)",green,15,"(127, 147, 172)",purple,12.9,"(78, 117, 161)",blue,12.5,"(180, 191, 180)",gray,8.3,0,0,8.3,0,66.3,0,12.5,0,0,0,12.9,green 66%; purple 13%; blue 12%; gray 8%,green
9,The Old Age of William Tell,,1931,Salvador Dali,ca,Power structures or hierarchies,https://www.moma.org/documents/moma_catalogue_2085_300061969.pdf,9.jpg,9,"(59, 50, 49)",black,30,"(95, 85, 73)",brown,24.7,"(82, 107, 147)",blue,16.1,"(146, 128, 97)",brown,12.6,"(196, 175, 129)",yellow,11.8,"(222, 210, 182)",white,4.8,30,4.8,0,0,0,11.8,16.1,37.3,0,0,0,brown 37%; black 30%; blue 16%; yellow 12%; white 5%,brown
10,The Hallucinogenic Toreador,,1968 - 1970,Salvador Dali,ca,Identity ,https://thedali.org/dalis-masterwork-a-closer-look/,10.jpg,10,"(214, 184, 148)",gray,24.8,"(228, 210, 185)",white,23,"(166, 148, 130)",gray,17.6,"(58, 45, 43)",black,15.4,"(116, 100, 83)",brown,14.9,"(201, 102, 81)",brown,4.3,15.4,23,42.4,0,0,0,0,19.1,0,0,0,gray 42%; white 23%; brown 19%; black 15%,gray
11,The Ghost of Vermeer van Delft which Can Be Used as a Table,,1934,Salvador Dali,ca,Arts & entertainment,https://www.dalipaintings.com/the-ghost-of-vermeer-of-delft-which-can-be-used-as-a-table.jsp,11.jpg,11,"(162, 155, 105)",yellow,32.1,"(199, 188, 134)",yellow,25.1,"(124, 112, 68)",brown,14.3,"(222, 173, 66)",yellow,10.1,"(57, 48, 31)",brown,9.6,"(243, 227, 124)",yellow,8.8,0,0,0,0,0,76.1,0,23.9,0,0,0,yellow 76%; brown 24%,yellow
12,Portrait of My Dead Brother,,1963,Salvador Dali,ca,Death ,https://thedali.org/dalis-masterwork-a-closer-look/,12.jpg,12,"(120, 100, 83)",brown,21.2,"(58, 46, 43)",black,20.8,"(97, 69, 57)",brown,20.7,"(142, 124, 103)",brown,18.4,"(215, 199, 177)",gray,11.2,"(181, 159, 129)",gray,7.7,20.8,0,18.9,0,0,0,0,60.3,0,0,0,brown 60%; black 21%; gray 19%,brown
