lang,color,n_docs,n_proper_noun_flagged,pct_proper_noun_flagged,topic_idx,top_words,Translation ,primary,secondary,denonatitive or connotative,label
en,black,1500,687,45.8,1,"black, british, dark, game, french, features, death, vinyl, form, gray",,Unknown,,unknown,Unknown
en,black,1500,687,45.8,2,"black, king, film, 2020, beyoncé, james, fashion, disney, wrote, production",,Arts & entertainment,,Association,entertainment
en,black,1500,687,45.8,3,"black, white, films, film, created, political, documentary, wearing, photographs, image",,Arts & entertainment,,Association,recording
en,black,1500,687,45.8,4,"black, woman, country, sea, people, times, university, position, san, york",,named entity,,Occurence,Geographic
en,black,1500,687,45.8,5,"black, 2018, county, school, brown, included, female, district, season, england",,Identity ,named entity,Occurence,Institutions? 
en,black,1500,687,45.8,6,"black, lives, matter, 2020, movement, united, july, reid, power, protests",,Social Movement,Identity ,Association,Social movents 
en,black,1500,687,45.8,7,"black, american, film, directed, art, book, published, starring, historian, civil",,Arts & entertainment,Identity ,Association,Art
en,black,1500,687,45.8,8,"black, race, heart, bart, social, stakes, war, hair, white, people",,Identity ,,Association,race and identity
en,black,1500,687,45.8,9,"black, african, art, american, team, national, artists, city, exhibition, king",,Arts & entertainment,Identity ,Association,art and identity
en,black,1500,687,45.8,10,"black, 2019, community, called, public, played, review, april, television, event",,Unknown,,unknown,unknown
en,black,1500,687,45.8,11,"women, black, white, asian, 2013, ethnic, manager, harry, sirius, wealth",,Identity ,,Association,identity
en,black,1500,687,45.8,12,"black, people, white, colors, background, children, color, center, police, style",,Identity ,Arts & entertainment,Association,identity / aesthetics?
en,black,1500,687,45.8,13,"black, hole, white, holes, racial, light, body, party, universe, report",,Space,,Occurence,space
en,black,1500,687,45.8,14,"black, history, month, 2016, canadian, 2022, 2021, women, collective, 100",,Social Movement,,Association,Social movements
en,black,1500,687,45.8,15,"black, king, music, video, song, beyoncé, album, brown, film, blue",,Arts & entertainment,,Association,aesthetics
en,white,1500,464,30.9,1,"white, black, called, brown, video, set, john, supremacy, wrote, hair",,Identity ,,Association,unknown
en,white,1500,464,30.9,2,"white, people, black, petals, shaped, arranged, covered, flowers, sepals, coloured",,Arts & entertainment,Identity ,Occurence,Aesthetics / race
en,white,1500,464,30.9,3,"background, style, white, colspan, align, color, center, 3rd, 000099, culture",,Noise,,unknown,noise
en,white,1500,464,30.9,4,"white, city, house, ethnic, mothers, american, national, health, event, north",,Politics & ideology,Social Movement,Occurence,social or political movements 
en,white,1500,464,30.9,5,"white, lbs, supremacist, 2021, prison, championships, aryan, named, ncaa, 285",,Politics & ideology,Social Movement,Association,race supremacism and atheletics 
en,white,1500,464,30.9,6,"white, black, films, blue, french, anderson, spruce, wolf, american, lake",,Ecology & environment,Arts & entertainment,unknown,culture/nature
en,white,1500,464,30.9,7,"white, american, university, william, african, marble, born, life, theatre, south",,Unknown,,Occurence,life 
en,white,1500,464,30.9,8,"white, house, president, trump, george, wife, power, fight, aspen, rolls",,Politics & ideology,,Occurence,Politics 
en,white,1500,464,30.9,9,"white, black, red, including, women, racial, colors, film, blue, times",,Colour co-occurrence,Identity ,Association,Aesthetics / race
en,white,1500,464,30.9,10,"white, leaves, flowers, leaf, borne, axils, press, panicles, late, eagle",,physical description,,Occurence,plants
en,white,1500,464,30.9,11,"white, species, silver, 2018, 2019, chief, center, obama, color, including",,Unknown,,unknown,unknown
en,white,1500,464,30.9,12,"white, dwarf, stated, reviewed, dave, langford, series, dana, contender, july",,Arts & entertainment,,Occurence,media 
en,white,1500,464,30.9,13,"white, house, united, island, army, painted, james, gray, american, father",,Politics & ideology,,Occurence,Politics 
en,white,1500,464,30.9,14,"white, edition, issue, light, 1984, game, racism, women, song, august",,Identity ,,Association,unknown
en,white,1500,464,30.9,15,"white, green, river, football, season, ohio, horse, team, west, held",,named entity,,Occurence,athletics 
en,red,1500,955,63.7,1,"red, black, colors, deer, play, white, minute, devils, green, english",,Colour co-occurrence,,Occurence,colours / aesthetics
en,red,1500,955,63.7,2,"red, football, seasons, cornell, bull, race, racing, mountain, college, chief",,named entity,,Occurence,athletics 
en,red,1500,955,63.7,3,"red, army, cross, national, 000, people, union, military, soldiers, ukrainian",,Conflict ,,Association,military/ politics
en,red,1500,955,63.7,4,"red, 2020, league, 2019, club, series, october, wolves, chattanooga, season",,named entity,,Occurence,athletics 
en,red,1500,955,63.7,5,"red, york, bulls, 2020, players, 2021, debut, championship, usl, signed",,named entity,,Occurence,athletics 
en,red,1500,955,63.7,6,"red, white, players, brick, minneapolis, jackets, blue, hood, constructed, roof",,named entity,,Occurence,athletics 
en,red,1500,955,63.7,7,"football, cornell, red, team, university, season, american, represented, division, ncaa",,named entity,,Occurence,athletics 
en,red,1500,955,63.7,8,"red, game, september, army, banner, 2020, urawa, diamonds, ball, southern",,named entity,,Occurence,athletics 
en,red,1500,955,63.7,9,"red, blue, green, yellow, black, white, blood, colour, video, brown",,Colour co-occurrence,,Occurence,colours / aesthetics
en,red,1500,955,63.7,10,"red, opponents, ivy, cross, outscored, star, american, including, called, left",,named entity,,Occurence,athletics 
en,red,1500,955,63.7,11,"red, flag, sea, oak, caboose, western, upper, carpet, pro, april",,Ecology & environment,,Occurence,Red compound words
en,red,1500,955,63.7,12,"red, football, jackets, played, 1930, national, league, minneapolis, nfl, guard",,named entity,,Occurence,athletics 
en,red,1500,955,63.7,13,"red, river, card, sox, war, book, party, north, boston, family",,named entity,,Occurence,red names
en,red,1500,955,63.7,14,"red, february, album, 2018, january, nbc, blue, russian, announced, 19",,Unknown,,unknown,politics 
en,red,1500,955,63.7,15,"red, army, square, parade, military, soviet, birds, moscow, day, school",,Conflict ,,Association,political / military
en,green,1500,741,49.4,1,"green, football, team, league, college, dartmouth, season, building, american, division",,named entity,,Occurence,athletics 
en,green,1500,741,49.4,2,"green, land, screen, 2019, film, grabbing, card, live, house, including",,Arts & entertainment,named entity,Occurence,media / green compound words
